Smoothing,Measure,E,Test,value
BYM,EP,0.5,Turnbull (1990),0
BYM,EP,0.5,Besag-Newell (1991),0
BYM,EP,0.5,Kulldorff (1997),0
BYM,EP,1,Turnbull (1990),0
BYM,EP,1,Besag-Newell (1991),0
BYM,EP,1,Kulldorff (1997),0
BYM,EP,1.5,Turnbull (1990),0
BYM,EP,1.5,Besag-Newell (1991),0
BYM,EP,1.5,Kulldorff (1997),0
BYM,EP,2,Turnbull (1990),0
BYM,EP,2,Besag-Newell (1991),0
BYM,EP,2,Kulldorff (1997),0
Obs,MP,0.5,Turnbull (1990),0.8
Obs,MP,0.5,Besag-Newell (1991),0
Obs,MP,0.5,Kulldorff (1997),0.8
Obs,MP,1,Turnbull (1990),1
Obs,MP,1,Besag-Newell (1991),0
Obs,MP,1,Kulldorff (1997),1
Obs,MP,1.5,Turnbull (1990),1
Obs,MP,1.5,Besag-Newell (1991),0
Obs,MP,1.5,Kulldorff (1997),1
Obs,MP,2,Turnbull (1990),1
Obs,MP,2,Besag-Newell (1991),0.3
Obs,MP,2,Kulldorff (1997),1
Adj,MP,0.5,Turnbull (1990),0.8
Adj,MP,0.5,Besag-Newell (1991),0
Adj,MP,0.5,Kulldorff (1997),0.3
Adj,MP,1,Turnbull (1990),1
Adj,MP,1,Besag-Newell (1991),0
Adj,MP,1,Kulldorff (1997),0.8
Adj,MP,1.5,Turnbull (1990),1
Adj,MP,1.5,Besag-Newell (1991),0
Adj,MP,1.5,Kulldorff (1997),1
Adj,MP,2,Turnbull (1990),1
Adj,MP,2,Besag-Newell (1991),0
Adj,MP,2,Kulldorff (1997),1
ID,MP,0.5,Turnbull (1990),0.8
ID,MP,0.5,Besag-Newell (1991),0
ID,MP,0.5,Kulldorff (1997),0.4
ID,MP,1,Turnbull (1990),1
ID,MP,1,Besag-Newell (1991),0
ID,MP,1,Kulldorff (1997),0.9
ID,MP,1.5,Turnbull (1990),1
ID,MP,1.5,Besag-Newell (1991),0
ID,MP,1.5,Kulldorff (1997),1
ID,MP,2,Turnbull (1990),1
ID,MP,2,Besag-Newell (1991),0
ID,MP,2,Kulldorff (1997),1
BYM,MP,0.5,Turnbull (1990),0.1
BYM,MP,0.5,Besag-Newell (1991),0
BYM,MP,0.5,Kulldorff (1997),0.1
BYM,MP,1,Turnbull (1990),0.9
BYM,MP,1,Besag-Newell (1991),0
BYM,MP,1,Kulldorff (1997),0.8
BYM,MP,1.5,Turnbull (1990),1
BYM,MP,1.5,Besag-Newell (1991),0
BYM,MP,1.5,Kulldorff (1997),1
BYM,MP,2,Turnbull (1990),1
BYM,MP,2,Besag-Newell (1991),0
BYM,MP,2,Kulldorff (1997),1
Obs,CC,0.5,Turnbull (1990),0.9188679245283019
Obs,CC,0.5,Besag-Newell (1991),0.9119496855345912
Obs,CC,0.5,Kulldorff (1997),0.929559748427673
Obs,CC,1,Turnbull (1990),0.9150943396226415
Obs,CC,1,Besag-Newell (1991),0.9119496855345912
Obs,CC,1,Kulldorff (1997),0.9572327044025157
Obs,CC,1.5,Turnbull (1990),0.9157232704402516
Obs,CC,1.5,Besag-Newell (1991),0.9119496855345912
Obs,CC,1.5,Kulldorff (1997),0.9654088050314465
Obs,CC,2,Turnbull (1990),0.9182389937106918
Obs,CC,2,Besag-Newell (1991),0.9132075471698113
Obs,CC,2,Kulldorff (1997),0.9729559748427673
Adj,CC,0.5,Turnbull (1990),0.8874213836477988
Adj,CC,0.5,Besag-Newell (1991),0.9119496855345912
Adj,CC,0.5,Kulldorff (1997),0.9018867924528302
Adj,CC,1,Turnbull (1990),0.9062893081761006
Adj,CC,1,Besag-Newell (1991),0.9119496855345912
Adj,CC,1,Kulldorff (1997),0.9163522012578617
Adj,CC,1.5,Turnbull (1990),0.9138364779874214
Adj,CC,1.5,Besag-Newell (1991),0.9119496855345912
Adj,CC,1.5,Kulldorff (1997),0.9509433962264151
Adj,CC,2,Turnbull (1990),0.9182389937106918
Adj,CC,2,Besag-Newell (1991),0.9119496855345912
Adj,CC,2,Kulldorff (1997),0.9610062893081761
ID,CC,0.5,Turnbull (1990),0.8930817610062893
ID,CC,0.5,Besag-Newell (1991),0.9119496855345912
ID,CC,0.5,Kulldorff (1997),0.9081761006289308
ID,CC,1,Turnbull (1990),0.8930817610062893
ID,CC,1,Besag-Newell (1991),0.9119496855345912
ID,CC,1,Kulldorff (1997),0.9226415094339623
ID,CC,1.5,Turnbull (1990),0.9138364779874214
ID,CC,1.5,Besag-Newell (1991),0.9119496855345912
ID,CC,1.5,Kulldorff (1997),0.9578616352201258
ID,CC,2,Turnbull (1990),0.9157232704402516
ID,CC,2,Besag-Newell (1991),0.9119496855345912
ID,CC,2,Kulldorff (1997),0.9635220125786164
BYM,CC,0.5,Turnbull (1990),0.910062893081761
BYM,CC,0.5,Besag-Newell (1991),0.9119496855345912
BYM,CC,0.5,Kulldorff (1997),0.9125786163522013
BYM,CC,1,Turnbull (1990),0.910062893081761
BYM,CC,1,Besag-Newell (1991),0.9119496855345912
BYM,CC,1,Kulldorff (1997),0.9446540880503145
BYM,CC,1.5,Turnbull (1990),0.9169811320754717
BYM,CC,1.5,Besag-Newell (1991),0.9119496855345912
BYM,CC,1.5,Kulldorff (1997),0.9616352201257862
BYM,CC,2,Turnbull (1990),0.9182389937106918
BYM,CC,2,Besag-Newell (1991),0.9119496855345912
BYM,CC,2,Kulldorff (1997),0.9660377358490566
