Smoothing,Measure,E,Test,value
Obs,CC,1.5,Besag-Newell (1991),0.9366666666666666
Obs,CC,1.5,Kulldorff (1997),0.9770440251572328
Obs,CC,2,Turnbull (1990),0.9075471698113208
Obs,CC,2,Besag-Newell (1991),0.9465408805031447
Obs,CC,2,Kulldorff (1997),0.9834591194968554
Adj,CC,0.5,Turnbull (1990),0.9041509433962265
Adj,CC,0.5,Besag-Newell (1991),0.9044025157232705
Adj,CC,0.5,Kulldorff (1997),0.9089937106918239
Adj,CC,1,Turnbull (1990),0.909496855345912
Adj,CC,1,Besag-Newell (1991),0.9147798742138364
Adj,CC,1,Kulldorff (1997),0.9221383647798742
Adj,CC,1.5,Turnbull (1990),0.9151572327044025
Adj,CC,1.5,Besag-Newell (1991),0.9127672955974843
Adj,CC,1.5,Kulldorff (1997),0.9405660377358491
Adj,CC,2,Turnbull (1990),0.909559748427673
Adj,CC,2,Besag-Newell (1991),0.9133962264150943
Adj,CC,2,Kulldorff (1997),0.9513207547169812
ID,CC,0.5,Turnbull (1990),0.9073584905660378
ID,CC,0.5,Besag-Newell (1991),0.9054716981132076
ID,CC,0.5,Kulldorff (1997),0.909245283018868
ID,CC,1,Turnbull (1990),0.9138364779874214
ID,CC,1,Besag-Newell (1991),0.9136477987421384
ID,CC,1,Kulldorff (1997),0.9251572327044025
ID,CC,1.5,Turnbull (1990),0.9213836477987422
ID,CC,1.5,Besag-Newell (1991),0.9135220125786163
ID,CC,1.5,Kulldorff (1997),0.9423899371069182
ID,CC,2,Turnbull (1990),0.9136477987421384
ID,CC,2,Besag-Newell (1991),0.9149685534591195
ID,CC,2,Kulldorff (1997),0.9555345911949685
BYM,CC,0.5,Turnbull (1990),0.9066037735849057
BYM,CC,0.5,Besag-Newell (1991),0.9059119496855346
BYM,CC,0.5,Kulldorff (1997),0.9056603773584906
BYM,CC,1,Turnbull (1990),0.9283018867924528
BYM,CC,1,Besag-Newell (1991),0.9137735849056604
BYM,CC,1,Kulldorff (1997),0.9213836477987422
BYM,CC,1.5,Turnbull (1990),0.9359748427672956
BYM,CC,1.5,Besag-Newell (1991),0.9349685534591196
BYM,CC,1.5,Kulldorff (1997),0.9321383647798742
BYM,CC,2,Turnbull (1990),0.9214465408805032
BYM,CC,2,Besag-Newell (1991),0.939811320754717
BYM,CC,2,Kulldorff (1997),0.959874213836478
