Smoothing,Measure,E,Test,value
Adj,CC,1.5,Turnbull (1990),0.8515723270440252
Adj,CC,1.5,Besag-Newell (1991),0.9031446540880503
Adj,CC,1.5,Kulldorff (1997),0.9119496855345912
Adj,CC,2,Turnbull (1990),0.8566037735849057
Adj,CC,2,Besag-Newell (1991),0.9006289308176101
Adj,CC,2,Kulldorff (1997),0.929559748427673
ID,CC,0.5,Turnbull (1990),0.8358490566037736
ID,CC,0.5,Besag-Newell (1991),0.8823899371069183
ID,CC,0.5,Kulldorff (1997),0.859748427672956
ID,CC,1,Turnbull (1990),0.8452830188679246
ID,CC,1,Besag-Newell (1991),0.9069182389937107
ID,CC,1,Kulldorff (1997),0.8905660377358491
ID,CC,1.5,Turnbull (1990),0.8459119496855346
ID,CC,1.5,Besag-Newell (1991),0.9062893081761006
ID,CC,1.5,Kulldorff (1997),0.9163522012578617
ID,CC,2,Turnbull (1990),0.8515723270440252
ID,CC,2,Besag-Newell (1991),0.9025157232704403
ID,CC,2,Kulldorff (1997),0.929559748427673
BYM,CC,0.5,Turnbull (1990),0.8641509433962264
BYM,CC,0.5,Besag-Newell (1991),0.8685534591194969
BYM,CC,0.5,Kulldorff (1997),0.869811320754717
BYM,CC,1,Turnbull (1990),0.8446540880503145
BYM,CC,1,Besag-Newell (1991),0.8968553459119497
BYM,CC,1,Kulldorff (1997),0.919496855345912
BYM,CC,1.5,Turnbull (1990),0.849685534591195
BYM,CC,1.5,Besag-Newell (1991),0.919496855345912
BYM,CC,1.5,Kulldorff (1997),0.9433962264150944
BYM,CC,2,Turnbull (1990),0.8477987421383648
BYM,CC,2,Besag-Newell (1991),0.9157232704402516
BYM,CC,2,Kulldorff (1997),0.9490566037735849
